# Mapping file for sectoral emisisons to Hector global total emissions,,,
variable,sector,hector_variable,source
NMVOC,1A2g_Ind-Comb-mining-quarying,NMVOC_emissions,CEDS
NMVOC,1A2g_Ind-Comb-other,NMVOC_emissions,CEDS
NMVOC,1A2g_Ind-Comb-textile-leather,NMVOC_emissions,CEDS
NMVOC,1A2g_Ind-Comb-transpequip,NMVOC_emissions,CEDS
NMVOC,1A2g_Ind-Comb-wood-products,NMVOC_emissions,CEDS
NMVOC,1A3ai_International-aviation,NMVOC_emissions,CEDS
NMVOC,1A3aii_Domestic-aviation,NMVOC_emissions,CEDS
NMVOC,1A3b_Road,NMVOC_emissions,CEDS
NMVOC,1A3c_Rail,NMVOC_emissions,CEDS
NMVOC,1A3di_International-shipping,NMVOC_emissions,CEDS
NMVOC,1A3di_Oil_Tanker_Loading,NMVOC_emissions,CEDS
NMVOC,1A3dii_Domestic-navigation,NMVOC_emissions,CEDS
NMVOC,1A3eii_Other-transp,NMVOC_emissions,CEDS
NMVOC,1A4a_Commercial-institutional,NMVOC_emissions,CEDS
NMVOC,1A4b_Residential,NMVOC_emissions,CEDS
NMVOC,1A4c_Agriculture-forestry-fishing,NMVOC_emissions,CEDS
NMVOC,1A5_Other-unspecified,NMVOC_emissions,CEDS
NMVOC,1B1_Fugitive-solid-fuels,NMVOC_emissions,CEDS
NMVOC,1B2_Fugitive-petr,NMVOC_emissions,CEDS
NMVOC,1B2b_Fugitive-NG-distr,NMVOC_emissions,CEDS
NMVOC,1B2b_Fugitive-NG-prod,NMVOC_emissions,CEDS
NMVOC,1B2d_Fugitive-other-energy,NMVOC_emissions,CEDS
NMVOC,2A1_Cement-production,NMVOC_emissions,CEDS
NMVOC,2A2_Lime-production,NMVOC_emissions,CEDS
NMVOC,2Ax_Other-minerals,NMVOC_emissions,CEDS
NMVOC,2B2_Chemicals-Nitric-acid,NMVOC_emissions,CEDS
NMVOC,2B3_Chemicals-Adipic-acid,NMVOC_emissions,CEDS
NMVOC,2B_Chemical-industry,NMVOC_emissions,CEDS
NMVOC,2C1_Iron-steel-alloy-prod,NMVOC_emissions,CEDS
NMVOC,2C3_Aluminum-production,NMVOC_emissions,CEDS
NMVOC,2C4_Non-Ferrous-other-metals,NMVOC_emissions,CEDS
NMVOC,2D_Chemical-products-manufacture-processing,NMVOC_emissions,CEDS
NMVOC,2D_Degreasing-Cleaning,NMVOC_emissions,CEDS
